Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
FTACU,FinTech Acquisition Corp. III,10.75,0.0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/ftacu,
FTACW,FinTech Acquisition Corp. III,1.4823,0.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/ftacw,
FEYE,"FireEye, Inc.",15.76,3231896817.2,,2013.0,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/feye,
FBNC,First Bancorp,36.12,1074441954.6,,1987.0,Finance,Major Banks,https://www.nasdaq.com/symbol/fbnc,
FNLC,"First Bancorp, Inc (ME)",25.92,282205347.84,,,Finance,Major Banks,https://www.nasdaq.com/symbol/fnlc,
FRBA,First Bank,11.62,217573437.76,,2013.0,,,https://www.nasdaq.com/symbol/frba,
BUSE,First Busey Corporation,26.52,1475165108.04,,,Finance,Major Banks,https://www.nasdaq.com/symbol/buse,
FBIZ,"First Business Financial Services, Inc.",24.37,213265086.84,,,Finance,Major Banks,https://www.nasdaq.com/symbol/fbiz,
FCAP,"First Capital, Inc.",52.32,176030326.08,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fcap,
FCBP,First Choice Bancorp,22.7,265445332.9,,,Finance,Major Banks,https://www.nasdaq.com/symbol/fcbp,
FCNCA,"First Citizens BancShares, Inc.",460.46,5239254320.3,,,Finance,Major Banks,https://www.nasdaq.com/symbol/fcnca,
FCBC,"First Community Bankshares, Inc.",33.18,522811619.4,,,Finance,Major Banks,https://www.nasdaq.com/symbol/fcbc,
FCCO,First Community Corporation,19.64,150539951.88,,,Finance,Major Banks,https://www.nasdaq.com/symbol/fcco,
FDEF,First Defiance Financial Corp.,27.83,548806737.27,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fdef,
